Image,Alt
img/projects/202309ricoh.jpg,リコー株式会社との活動
img/projects/20240519arena.jpg,あなぶきアリーナでの活動
img/projects/20240802soul.jpg,高松空港ソウル線の活動
img/projects/202506kunibou.jpg,邦坊プロジェクト（PBL）の活動
