Image,Alt
img/laboratory/202306pbl.JPG,PBL授業のアプリ開発の様子
img/laboratory/202506haizoku.jpg,3年生研究室配属の様子
img/laboratory/20250801syotengai.jpg,商店街でのフィールドワークの様子
